"","Country","Region","Population","Under15","Over60","FertilityRate","LifeExpectancy","ChildMortality","CellularSubscribers","LiteracyRate","GNI","PrimarySchoolEnrollmentMale","PrimarySchoolEnrollmentFemale"
"1","Afghanistan","Eastern Mediterranean",29825,47.42,3.82,5.4,60,98.5,54.26,NA,1140,NA,NA
"2","Albania","Europe",3162,21.33,14.93,1.75,74,16.7,96.39,NA,8820,NA,NA
"3","Algeria","Africa",38482,27.42,7.17,2.83,73,20,98.99,NA,8310,98.2,96.4
"4","Andorra","Europe",78,15.2,22.86,NA,82,3.2,75.49,NA,NA,78.4,79.4
"5","Angola","Africa",20821,47.58,3.84,6.1,51,163.5,48.38,70.1,5230,93.1,78.2
"6","Antigua and Barbuda","Americas",89,25.96,12.35,2.12,75,9.9,196.41,99,17900,91.1,84.5
"7","Argentina","Americas",41087,24.42,14.97,2.2,76,14.2,134.92,97.8,17130,NA,NA
"8","Armenia","Europe",2969,20.34,14.06,1.74,71,16.4,103.57,99.6,6100,NA,NA
"9","Australia","Western Pacific",23050,18.95,19.46,1.89,82,4.9,108.34,NA,38110,96.9,97.5
"10","Austria","Europe",8464,14.51,23.52,1.44,81,4,154.78,NA,42050,NA,NA
"11","Azerbaijan","Europe",9309,22.25,8.24,1.96,71,35.2,108.75,NA,8960,85.3,84.1
"12","Bahamas","Americas",372,21.62,11.24,1.9,75,16.9,86.06,NA,NA,NA,NA
"13","Bahrain","Eastern Mediterranean",1318,20.16,3.38,2.12,79,9.6,127.96,91.9,NA,NA,NA
"14","Bangladesh","South-East Asia",155000,30.57,6.89,2.24,70,40.9,56.06,56.8,1940,NA,NA
"15","Barbados","Americas",283,18.99,15.78,1.84,78,18.4,127.01,NA,NA,NA,NA
"16","Belarus","Europe",9405,15.1,19.31,1.47,71,5.2,111.88,NA,14460,NA,NA
"17","Belgium","Europe",11060,16.88,23.81,1.85,80,4.2,116.61,NA,39190,98.9,99.2
"18","Belize","Americas",324,34.4,5.74,2.76,74,18.3,69.96,NA,6090,NA,NA
"19","Benin","Africa",10051,42.95,4.54,5.01,57,89.5,85.33,42.4,1620,NA,NA
"20","Bhutan","South-East Asia",742,28.53,6.9,2.32,67,44.6,65.58,NA,5570,88.3,91.5
"21","Bolivia (Plurinational State of)","Americas",10496,35.23,7.28,3.31,67,41.4,82.82,NA,4890,91.2,91.5
"22","Bosnia and Herzegovina","Europe",3834,16.35,20.52,1.26,76,6.7,84.52,97.9,9190,86.5,88.4
"23","Botswana","Africa",2004,33.75,5.63,2.71,66,53.3,142.82,84.5,14550,NA,NA
"24","Brazil","Americas",199000,24.56,10.81,1.82,74,14.4,124.26,NA,11420,NA,NA
"25","Brunei Darussalam","Western Pacific",412,25.75,7.03,2.03,77,8,109.17,95.2,NA,NA,NA
"26","Bulgaria","Europe",7278,13.53,26.11,1.51,74,12.1,140.68,NA,14160,99.3,99.7
"27","Burkina Faso","Africa",16460,45.66,3.88,5.78,56,102.4,45.27,NA,1300,60.7,55.9
"28","Burundi","Africa",9850,44.2,3.87,6.21,53,104.3,22.33,67.2,610,NA,NA
"29","Cambodia","Western Pacific",14865,31.23,7.67,2.93,65,39.7,96.17,NA,2230,96.4,95.4
"30","Cameroon","Africa",21700,43.08,4.89,4.94,53,94.9,52.35,NA,2330,99.6,87.4
"31","Canada","Americas",34838,16.37,20.82,1.66,82,5.3,79.73,NA,39660,NA,NA
"32","Cape Verde","Africa",494,30.17,7.05,2.38,72,22.2,79.19,84.3,3980,94.6,92.4
"33","Central African Republic","Africa",4525,40.07,5.74,4.54,48,128.6,40.65,56,810,81.3,60.6
"34","Chad","Africa",12448,48.52,3.8,6.49,51,149.8,31.8,34.5,1360,NA,NA
"35","Chile","Americas",17465,21.38,13.8,1.84,79,9.1,129.71,NA,16330,94.3,94.4
"36","China","Western Pacific",1390000,17.95,13.42,1.66,76,14,73.19,94.3,8390,NA,NA
"37","Colombia","Americas",47704,28.03,9.19,2.35,78,17.6,98.45,93.4,9560,91.7,91.3
"38","Comoros","Africa",718,42.17,4.5,4.85,62,77.6,28.71,74.9,1110,NA,NA
"39","Congo","Africa",4337,42.37,5.13,5.05,58,96,93.84,NA,3240,92.3,89.3
"40","Cook Islands","Western Pacific",21,30.61,9.07,NA,77,10.6,NA,NA,NA,97.6,99.3
"41","Costa Rica","Americas",4805,23.94,10.15,1.83,79,9.9,92.2,96.2,11860,NA,NA
"42","Ivory Coast","Africa",19840,41.48,5.1,4.91,56,107.6,86.06,56.2,1710,NA,NA
"43","Croatia","Europe",4307,14.98,24.69,1.48,77,4.7,116.37,98.8,18760,94.8,97
"44","Cuba","Americas",11271,16.58,17.95,1.46,78,5.5,11.69,99.8,NA,100,99.7
